Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,525,,,,6,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,470,,,,6,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,189,,,,6,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,122,,,,6,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,White Crappie,342,0.4,13043,13044,7,,1
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Shortnose Gar,830,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,248,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,280,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,195,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,251,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,280,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,256,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Shortnose Gar,750,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,275,,,,8,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,White Crappie,361,0.7,,,8,,0
