"","ElevationBottom","Longitude","Latitude","optional"
"3050",-1.9,333670.546122253,3683197.48202343,TRUE
"3051",-1.7,333678.731467788,3683675.20140771,TRUE
"3052",-1.9,333670.592117982,3683192.70949875,TRUE
"3053",-2,333670.646955964,3683188.3993553,TRUE
"3054",-2.2,333662.538962539,3682714.21950357,TRUE
"3055",-2,333662.474406477,3682707.61316435,TRUE
"3056",-2.4,333667.002640521,3682967.74834499,TRUE
"3057",-1.7,333677.313392644,3683549.24705803,TRUE
"3058",-1.9,333674.754951454,3683395.67896834,TRUE
"3059",-1.8,333680.659938141,3683730.4116882,TRUE
"3060",-2,333670.834757876,3683153.13941267,TRUE
"3061",-2.3,333667.7509544,3682972.05916706,TRUE
"3062",-2.2,333663.918027567,3682718.14573836,TRUE
"3063",-2.4,333668.667627765,3682975.97223737,TRUE
"3064",-2,333664.252513807,3682709.81111073,TRUE
"3065",-1.7,333680.367338953,3683645.08216766,TRUE
"3066",-1.9,333676.526456088,3683396.29975556,TRUE
"3067",-2.2,333665.085442369,3682722.44495392,TRUE
"3068",-2.3,333669.531644037,3682979.91171991,TRUE
"3069",-2,333672.491365063,3683149.27438241,TRUE
"3070",-1.7,333680.361719445,3683588.66657984,TRUE
"3071",-1.8,333680.805324293,3683614.43104752,TRUE
"3072",-1.7,333678.910799402,3683496.18375672,TRUE
"3073",-1.8,333682.593539615,3683704.19059604,TRUE
"3074",-2.2,333670.284456587,3682983.83203023,TRUE
"3075",-2,333665.835818637,3682711.2426119,TRUE
"3076",-2.2,333666.120390347,3682726.40813263,TRUE
"3077",-2.2,333670.93503665,3682987.76739972,TRUE
"3078",-1.9,333678.257888956,3683396.97446981,TRUE
"3079",-1.7,333683.173867758,3683675.81531697,TRUE
"3080",-2.2,333671.523628394,3682991.67388153,TRUE
"3081",-2.3,333667.061652746,3682730.50490754,TRUE
"3082",-2.2,333674.224114147,3683145.66649133,TRUE
"3083",-1.7,333681.390314598,3683549.56995947,TRUE
"3084",-1.7,333684.556889089,3683728.55144982,TRUE
"3085",-2.2,333672.073208726,3682995.6963865,TRUE
"3086",-2,333667.577229664,3682712.60263908,TRUE
"3087",-2.2,333672.626320882,3682999.81643982,TRUE
"3088",-2.3,333668.18881123,3682734.57520971,TRUE
"3089",-2.2,333673.169953422,3683003.76362166,TRUE
"3090",-1.7,333684.226665555,3683645.70383588,TRUE
"3091",-1.7,333682.863796119,3683557.22368,TRUE
"3092",-1.7,333682.994285757,3683560.1131087,TRUE
"3093",-1.8,333682.966495335,3683554.40457756,TRUE
"3094",-1.7,333683.124375182,3683563.03360162,TRUE
"3095",-2.2,333673.69524827,3683008.05496619,TRUE
"3096",-1.7,333683.253269403,3683565.88423595,TRUE
"3097",-2.1,333676.029606074,3683141.68134069,TRUE
"3098",-1,333683.383910772,3683568.78253561,TRUE
"3099",-1.8,333683.513298219,3683571.66200049,TRUE
"3100",-2.2,333669.263089662,3682738.4955667,TRUE
"3101",-1.9,333680.553665977,3683397.52528287,TRUE
"3102",-1.8,333683.642875367,3683574.55255404,TRUE
"3103",-1.8,333683.772357645,3683577.43756328,TRUE
"3104",-1.8,333683.377291951,3683551.73216317,TRUE
"3105",-1.8,333683.902029621,3683580.33366119,TRUE
"3106",-2.2,333674.19679821,3683011.88418462,TRUE
"3107",-1.8,333684.032576067,3683583.22641657,TRUE
"3108",-1.8,333684.173159144,3683586.10679915,TRUE
"3109",-2,333669.290992859,3682713.65367553,TRUE
"3110",-1.8,333684.286156091,3683587.42924014,TRUE
"3111",-1.8,333684.558762747,3683603.14514248,TRUE
"3112",-1.8,333684.3687685,3683589.04502744,TRUE
"3113",-2.2,333674.619287709,3683016.26602305,TRUE
"3114",-1.8,333684.563903522,3683591.95553408,TRUE
"3115",-1.8,333683.829933088,3683548.83719472,TRUE
"3116",-1.8,333684.994220966,3683615.69151808,TRUE
"3117",-1.8,333684.751692994,3683594.54561015,TRUE
"3118",-2.2,333674.992278307,3683020.09633153,TRUE
"3119",-1.8,333684.944092446,3683597.40514082,TRUE
"3120",-2.3,333670.416433339,3682742.78947751,TRUE
"3121",-1.7,333686.869708146,3683703.47521161,TRUE
"3122",-1.7,333683.340845188,3683496.34311359,TRUE
"3123",-1.8,333685.135218974,3683600.24472783,TRUE
"3124",-2.2,333675.379123783,3683024.5187106,TRUE
"3125",-1.7,333684.329030608,3683545.93477636,TRUE
"3126",-1.9,333685.47497752,3683606.27180575,TRUE
"3127",-1.9,333685.735520135,3683609.13904414,TRUE
"3128",-2,333670.448484705,3682714.92164578,TRUE
"3129",-2,333677.739163028,3683138.18809379,TRUE
"3130",-2.2,333675.976702624,3683028.46053302,TRUE
"3131",-1.8,333685.982578658,3683611.65379044,TRUE
"3132",-1.8,333684.865938203,3683542.95517701,TRUE
"3133",-1.9,333686.240345894,3683614.52218553,TRUE
"3134",-2.3,333671.463678481,3682746.70918791,TRUE
"3135",-1.9,333686.572965779,3683617.40926544,TRUE
"3136",-1.7,333685.268190027,3683540.05552483,TRUE
"3137",-1.9,333682.844343726,3683398.21372335,TRUE
"3138",-2.2,333676.623996262,3683032.74868159,TRUE
"3139",-1.7,333685.561440097,3683549.89901527,TRUE
"3140",-1.7,333687.855819168,3683676.54492242,TRUE
"3141",-2.1,333671.443787687,3682716.62164681,TRUE
"3142",-1.8,333686.939058673,3683620.29244511,TRUE
"3143",-1.7,333688.820741295,3683726.89900965,TRUE
"3144",-1.8,333685.590738453,3683537.23487966,TRUE
"3145",-1.8,333687.310445218,3683622.88603532,TRUE
"3146",-2.2,333677.303204163,3683036.56044164,TRUE
"3147",-1.8,333672.508109742,3682751.11809923,TRUE
"3148",-1.8,333685.949235919,3683534.28273496,TRUE
"3149",-2.1,333679.333213924,3683134.42396236,TRUE
