"","X","Z2","k","POINT_Z","Z","Z3","N","DawnDO_Mod","DawnDO_Mod2","combo","POINT_X","POINT_Y","optional"
"1165764",1165764,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333201.6_3684861",-88.7913125995813,33.2899318836287,TRUE
"1165765",1165765,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333203.6_3684861",-88.7912911299363,33.2899321931459,TRUE
"1165766",1165766,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333205.6_3684861",-88.7912696602911,33.2899325026594,TRUE
"1165767",1165767,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333207.6_3684861",-88.7912481906454,33.2899328121692,TRUE
"1165768",1165768,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333261.6_3684861",-88.7906685100897,33.2899411675327,TRUE
"1165769",1165769,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333189.6_3684859",-88.7914410488727,33.2899119953781,TRUE
"1165770",1165770,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333191.6_3684859",-88.7914195792341,33.2899123049174,TRUE
"1165771",1165771,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333193.6_3684859",-88.7913981095952,33.2899126144529,TRUE
"1165772",1165772,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333195.6_3684859",-88.791376639956,33.2899129239847,TRUE
"1165773",1165773,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333197.6_3684859",-88.7913551703164,33.2899132335128,TRUE
"1165774",1165774,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333199.6_3684859",-88.7913337006765,33.2899135430372,TRUE
"1165775",1165775,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333201.6_3684859",-88.7913122310363,33.2899138525579,TRUE
"1165776",1165776,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333203.6_3684859",-88.7912907613957,33.2899141620749,TRUE
"1165777",1165777,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333205.6_3684859",-88.7912692917549,33.2899144715882,TRUE
"1165778",1165778,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333207.6_3684859",-88.7912478221137,33.2899147810978,TRUE
"1165779",1165779,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333235.6_3684859",-88.7909472471023,33.2899191138428,TRUE
"1165780",1165780,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333237.6_3684859",-88.7909257774562,33.2899194232968,TRUE
"1165781",1165781,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333239.6_3684859",-88.7909043078097,33.2899197327471,TRUE
