OBJECTID,Join_Count,TARGET_FID,DO,POINT_X,POINT_Y,Temp,Elevation
1443,1,1443,8.683360054,334165.6178,3683057.015,28.36942903,67.1481171
1445,1,1445,8.682610478,334195.6178,3683057.015,28.37028834,66.9652939
1447,1,1447,8.671919857,334225.6178,3683057.015,28.36549552,66.8803558
1449,1,1449,8.655664053,334255.6178,3683057.015,28.35728673,66.8115005
1451,1,1451,8.639265579,334285.6178,3683057.015,28.34813359,66.9127197
1453,1,1453,8.627029529,334315.6178,3683057.015,28.3396442,66.9041061
1455,1,1455,8.620953673,334345.6178,3683057.015,28.33240974,66.9202194
1457,1,1457,8.620481159,334375.6178,3683057.015,28.32639062,67.0659103
1459,1,1459,8.622910138,334405.6178,3683057.015,28.32117036,67.0980072
1461,1,1461,8.624347061,334435.6178,3683057.015,28.31586647,67.1616364
1463,1,1463,8.621095423,334465.6178,3683057.015,28.30917435,66.9052811
1465,1,1465,8.610926263,334495.6178,3683057.015,28.29990721,66.5518799
1467,1,1467,8.593467872,334525.6178,3683057.015,28.2875119,66.1583786
1565,1,1565,8.110052466,333205.6178,3683087.015,28.09258214,67.6321106
1567,1,1567,8.131746552,333235.6178,3683087.015,28.12389804,67.5598907
